fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
OMT,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,1.019254,83439838,85046417.25,86,OSMANLI PORTFÖY PARA PİYASASI KATILIM (TL) FONU
ONE,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.502802,20417785,30683895.51,672,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
ONK,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,60.95905,1560025269,95097659089.77,21108,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON
ONN,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,6.639427,256759159,1704733777.07,630,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON
ONS,İŞ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,55.087484,3048413689,167929440764.69,23742,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON
OPB,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,13.71996,3706181,50848654.18,425,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON
OPD,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,8.725352,7946256,69333882.82,20,OSMANLI PORTFÖY ANKA SERBEST FON
OPF,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,3.238945,134911589,436971182.44,1012,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON
OPH,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,25.538411,35436003,904979202.49,2450,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)
OPI,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,22.848214,9559663,218421228.82,1512,OSMANLI PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
OPL,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,9.685166,3600088,34867450.28,472,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON
ORC,ASTRA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.437543,934873557,1343921189.01,56,ASTRA PORTFÖY ALFA SERBEST FON
OSD,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,14.608948,42620773,622644653.88,857,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU
OSL,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.159907,10584130435,1692478275.32,4143,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU
OTJ,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,7.099992,436674460,3100385265.39,21429,OYAK PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU
OTK,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,8.597872,492612,4235415.13,67,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON
OTM,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.292866,11173344,14445632.34,96,AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON
OUD,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,67.743513,2218293,150274961.78,120,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON
OVD,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,3.616352,250685840,906568279.72,3245,QNB PORTFÖY EMTİA FON SEPETİ FONU
P1A,A1 CAPİTAL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.574471,452514793,712471367.89,354,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON
PA2,PUSULA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,1.085811,33586777,36468901.69,458,PUSULA PORTFÖY ALTIN KATILIM FONU
PAB,A1 CAPİTAL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,1.449557,139614027,202378532.83,727,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU
PAF,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Altın Ve Diğer Kıymetli Madenler Fonu,3.555741,77908986,277024213.6,3169,PARDUS PORTFÖY ALTIN FONU
PAL,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.014663,2646360764,153527728113.65,30753,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON
PAO,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.133756,3865892,4382979.57,216,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
PBI,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,2.342642,46923115,109924074.68,668,PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU
PBK,ASTRA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.798117,1716518,100928025.85,110,ASTRA PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON
PBN,PİRAMİT PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,1.728937,289554741,500622026.52,554,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
PBR,PUSULA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.056593,951715812,1005576032.01,17087,PUSULA PORTFÖY BİRİNCİ DEĞİŞKEN FON
PCE,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.30121,43994904,57246614.03,145,PARDUS PORTFÖY İNCİ SERBEST FON
PDD,ASTRA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,6.06785,138258825,838933810.47,176,ASTRA PORTFÖY KATILIM FONU
PDF,ASTRA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,61.273851,7745892,474620633.74,53,ASTRA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON
PEA,PERFORM PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Altın Ve Diğer Kıymetli Madenler Fonu,1.469361,47287860,69482932.85,104,PERFORM PORTFÖY ALTIN FONU
PFO,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,2.426344,32491949,78836655.4,284,PHİLLİP PORTFÖY FON SEPETİ FONU
PFS,ATLAS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,2.864073,5362840,15359564.89,87,ATLAS PORTFÖY FON SEPETİ FONU
PGD,ASTRA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.823858,102547543,187032185.61,150,ASTRA PORTFÖY AGRESİF DEĞİŞKEN FON
PGS,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.344413,126722152,170366857.32,422,AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
PHE,PUSULA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.310542,2794591651,867837543.11,50351,PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
PHF,PİRAMİT PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,1.615148,294016510,474880054.06,12,PİRAMİT PORTFÖY BİST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
